"method","p","graph","icov","n","log.recall.min","log.recall.max","log.aupr","clr.recall.min","clr.recall.max","clr.aupr"
"glasso","64","band","neg","128",0.0317460317460317,1,0.708083654617918,0.0476190476190476,0.984126984126984,0.563160913462795
"glasso","64","band","neg","128",0.142857142857143,1,0.685687224131373,0.126984126984127,0.984126984126984,0.618766386049045
"glasso","64","band","neg","128",0.142857142857143,1,0.702955365053794,0.142857142857143,1,0.61628041971062
"glasso","64","band","neg","128",0.0952380952380952,1,0.784371181713008,0.206349206349206,1,0.676437875987105
"glasso","64","band","neg","128",0.206349206349206,1,0.805416278721995,0.222222222222222,1,0.676578802545541
"glasso","64","band","neg","256",0.142857142857143,1,0.965282705699742,0.0158730158730159,1,0.926233206636905
"glasso","64","band","neg","256",0.0793650793650794,1,0.967169751076619,0.111111111111111,1,0.880071206996421
"glasso","64","band","neg","256",0.0634920634920635,1,0.962276627514619,0.0952380952380952,1,0.92655474190468
"glasso","64","band","neg","256",0.0793650793650794,1,0.961379491948871,0.19047619047619,1,0.926946508033742
"glasso","64","band","neg","256",0.126984126984127,1,0.951847692018208,0.126984126984127,1,0.884485599002435
"glasso","64","band","neg","256",0.126984126984127,1,0.939795969275077,0.0793650793650794,1,0.875829663317611
"glasso","64","band","neg","256",0.0634920634920635,1,0.974866338498918,0.0317460317460317,1,0.929252483732233
"glasso","64","band","neg","256",0.0952380952380952,1,0.958814016172507,0.111111111111111,1,0.897364250359642
"glasso","64","band","neg","256",0.0634920634920635,1,0.966399228632238,0.111111111111111,1,0.908672801957345
"glasso","64","band","neg","256",0.0634920634920635,1,0.97030984761689,0.0793650793650794,1,0.937966673475804
"glasso","64","band","neg","256",0.111111111111111,1,0.939960744221525,0.0952380952380952,1,0.886202396819111
"glasso","64","band","neg","256",0.142857142857143,1,0.961379896586136,0.142857142857143,1,0.893874043899165
"glasso","64","band","neg","256",0.0476190476190476,1,0.953827033218259,0.0476190476190476,1,0.909388559490507
"glasso","64","band","neg","256",0.142857142857143,1,0.961065382010586,0.111111111111111,1,0.905518836064325
"glasso","64","band","neg","256",0.238095238095238,1,0.960034926010761,0.126984126984127,1,0.903615940965379
"glasso","64","band","neg","256",0.158730158730159,1,0.947408059467919,0.0793650793650794,1,0.888356377296858
"glasso","64","band","neg","256",0.126984126984127,1,0.954039236827587,0.0158730158730159,1,0.908896426548981
"glasso","64","band","neg","256",0.0476190476190476,1,0.972550092161621,0.0793650793650794,1,0.9384284888604
"glasso","64","band","neg","256",0.0634920634920635,1,0.98289729451131,0.0952380952380952,1,0.921771688208714
"glasso","64","band","neg","256",0.0793650793650794,1,0.952639998997675,0.0634920634920635,1,0.893685589693127
"glasso","64","band","neg","512",0.317460317460317,1,0.998743550356454,0.285714285714286,1,0.99485757773429
"glasso","64","band","neg","512",0.142857142857143,1,0.997742039758846,0.174603174603175,1,0.993843296751008
"glasso","64","band","neg","512",0.0317460317460317,1,1,0.0158730158730159,1,0.998015873015873
"glasso","64","band","neg","512",0.222222222222222,1,0.998263888888889,0.158730158730159,1,0.991609155739591
"glasso","64","band","neg","512",0.126984126984127,1,0.999498063114135,0.0952380952380952,1,0.994458590363763
"glasso","64","band","neg","512",0.238095238095238,1,0.99924611048123,0.142857142857143,1,0.998015873015873
"glasso","64","band","neg","512",0.0634920634920635,1,1,0.0634920634920635,1,0.99702380952381
"glasso","64","band","neg","512",0.0476190476190476,1,1,0.0476190476190476,1,0.997950806169984
"glasso","64","band","neg","512",0.238095238095238,1,1,0.19047619047619,1,0.998917748917749
"glasso","64","band","neg","512",0.0158730158730159,1,0.999751984126984,0.126984126984127,1,0.995682586044032
"glasso","64","band","neg","512",0.111111111111111,1,1,0.0158730158730159,1,0.996692268305172
"glasso","64","band","neg","512",0.142857142857143,1,1,0.0158730158730159,1,0.99550660310154
"glasso","64","band","neg","512",0.222222222222222,1,1,0.19047619047619,1,1
"glasso","64","band","neg","512",0.126984126984127,1,0.998813837129054,0.111111111111111,1,0.988479726631081
"glasso","64","band","neg","512",0.253968253968254,1,0.996918767507003,0.253968253968254,1,0.988939465304956
"glasso","64","band","neg","512",0.206349206349206,1,0.998005494285256,0.0158730158730159,1,0.99509819133475
"glasso","64","band","neg","512",0.238095238095238,1,1,0.238095238095238,1,0.995679245859795
"glasso","64","band","neg","512",0.0793650793650794,1,0.997936589253188,0.0793650793650794,1,0.995919789023237
"glasso","64","band","neg","512",0.365079365079365,1,0.998194303997875,0.301587301587302,1,0.996500891946027
"glasso","64","band","neg","512",0.301587301587302,1,0.999278499278499,0.206349206349206,1,0.99681049166033
"glasso","64","band","mix","32",0.0634920634920635,0.825396825396825,0.163248552814264,0.0634920634920635,0.888888888888889,0.153460747342017
"glasso","64","band","mix","32",0.0317460317460317,0.936507936507937,0.149100493332975,0.0317460317460317,0.920634920634921,0.138458222331673
"glasso","64","band","mix","32",0.0158730158730159,0.857142857142857,0.0964807731611015,0.0158730158730159,0.873015873015873,0.109976007373008
"glasso","64","band","mix","32",0.0793650793650794,0.888888888888889,0.166442600286493,0.0793650793650794,0.888888888888889,0.147637894793087
"glasso","64","band","mix","32",0.0634920634920635,0.873015873015873,0.14807490172869,0.0634920634920635,0.857142857142857,0.120118015141155
"glasso","64","band","mix","32",0,0.920634920634921,0.10717771346749,0,0.888888888888889,0.109350664989851
"glasso","64","band","mix","32",0.0158730158730159,0.888888888888889,0.118533105571179,0.0158730158730159,0.904761904761905,0.100137059267358
"glasso","64","band","mix","32",0.0476190476190476,0.888888888888889,0.115852281600358,0.0634920634920635,0.873015873015873,0.114454471899437
"glasso","64","band","mix","32",0.0317460317460317,0.873015873015873,0.123796069900991,0.0476190476190476,0.873015873015873,0.115730271959864
"glasso","64","band","mix","32",0.0476190476190476,0.936507936507937,0.212224019314761,0.0476190476190476,0.904761904761905,0.182839099754736
"glasso","64","band","mix","32",0.0158730158730159,0.825396825396825,0.12575723259948,0.0158730158730159,0.825396825396825,0.131031137584569
"glasso","64","band","mix","32",0.0158730158730159,0.793650793650794,0.127490754755311,0.0158730158730159,0.73015873015873,0.114679684840312
"glasso","64","band","mix","32",0.0317460317460317,0.904761904761905,0.199685658303031,0.0634920634920635,0.936507936507937,0.206635976851308
"glasso","64","band","mix","32",0.0476190476190476,0.873015873015873,0.156892537557994,0.0476190476190476,0.841269841269841,0.140715330823139
"glasso","64","band","mix","32",0.0317460317460317,0.888888888888889,0.172863720866929,0.0317460317460317,0.920634920634921,0.155776829176625
"glasso","64","band","mix","32",0.0317460317460317,0.888888888888889,0.145798087034411,0.0158730158730159,0.873015873015873,0.12794052761221
"glasso","64","band","mix","32",0.0476190476190476,0.857142857142857,0.102849070189709,0.0476190476190476,0.793650793650794,0.104459742822856
"glasso","64","band","mix","32",0.0634920634920635,0.825396825396825,0.201684916396598,0.0634920634920635,0.873015873015873,0.132278581448929
"glasso","64","band","mix","32",0.0793650793650794,0.888888888888889,0.194364989260332,0.0634920634920635,0.80952380952381,0.189505875070765
"glasso","64","band","mix","32",0.0317460317460317,0.936507936507937,0.169117752344325,0.0317460317460317,0.888888888888889,0.171705704476923
"glasso","64","band","mix","64",0.0793650793650794,1,0.374043334262419,0.0952380952380952,0.968253968253968,0.357031811378952
"glasso","64","band","mix","64",0.0476190476190476,1,0.356325491666684,0.0476190476190476,0.968253968253968,0.307733543194063
"glasso","64","band","mix","64",0.0158730158730159,0.936507936507937,0.254752879070093,0.0317460317460317,0.968253968253968,0.283615921561598
